date,lo20,hi20,lo10,hi10
196307,0.47,-1.37,0.33,-1.48
196308,4.66,7.8,4.26,5.26
196309,-0.76,-2.37,-0.32,-2.18
196310,3.2,2.86,4.11,1.36
196311,-0.34,-1.32,-0.08,-2.26
196312,2.94,-0.2,1.51,-0.17
196401,3.37,-1.04,3.7,-1.41
196402,1.33,1.93,1.11,1.4
196403,1.16,1.59,0.84,2.26
196404,1.33,-1.3,1.4,0.12
196405,1.72,4.02,1.88,1.77
196406,1.62,-0.45,1.8,-1.66
196407,1.98,-0.1,1.61,1.44
196408,-1.24,-1.83,-1.28,-1.19
196409,2.57,6.06,2.58,5.11
196410,0.66,-1.19,0.91,-0.62
196411,0.5,-2.8,0.46,-2.71
196412,0.78,-0.57,1.03,-1.85
196501,3.09,7.49,2.03,9.92
196502,-0.53,4.78,-0.86,4.34
196503,-1.17,0.64,-1.35,0.37
196504,3.29,3.13,3.78,3.45
196505,-0.5,-1.32,-0.33,-2.35
196506,-4.14,-11.33,-4.06,-12.92
196507,1.55,5.6,1.59,3.37
196508,2.11,7.41,1.63,6.82
196509,2.94,4.25,3.22,3.46
196510,1.59,7.53,1.55,8.35
196511,-1.41,6.67,-2.12,10.53
196512,0.12,3.82,-0.49,4.09
196601,-0.73,5.67,-1.16,7.04
196602,-2.17,5.66,-2.82,6.32
196603,-2.91,-2.15,-3.19,-1.67
196604,1.78,5.1,1.66,6.52
196605,-4.18,-11.89,-4.06,-12.85
196606,-2.03,2.42,-2.24,2.36
196607,-0.54,-2.34,-0.36,-3.91
196608,-6.26,-10.18,-5.85,-11.51
196609,-0.22,-4.86,0.35,-4.22
196610,5.78,-6.26,6.31,-9.03
196611,-0.89,14.18,-1.48,13.11
196612,-0.12,1.39,0.01,0.34
196701,6.91,18.54,7.52,22.98
196702,0.66,4.46,1.37,5.98
196703,3.82,4.86,3.29,6.51
196704,3.99,5.21,3.51,3.89
196705,-4.42,-2.26,-3.93,-2.8
196706,1.47,10.6,1.48,12.14
196707,3.58,8.29,2.58,9.45
196708,-0.72,-1.54,-1.05,-1.95
196709,3.43,5.34,4.49,6.26
196710,-1.67,-2.35,0.24,-2.93
196711,0.88,0.92,0.6,0.26
196712,2.66,9.35,2.14,12.46
196801,-2.2,-4.11,-1.86,-2.37
196802,-1.86,-9.14,-1.67,-10.03
196803,0.65,-0.44,1.13,-2.25
196804,7.34,17.05,6.82,17
196805,1.09,8.79,0.92,9.36
196806,1.8,-1.59,1.43,-2.32
196807,-0.92,-4.62,-0.63,-3.82
196808,1.23,3.05,1,3.25
196809,2.86,9.64,3.3,10.84
196810,1.09,-2.33,1.28,-2.57
196811,4.42,8.7,4.31,8.21
196812,-4.56,-0.86,-4.72,0.43
196901,-0.77,-2.47,-1.01,-1.65
196902,-2.98,-10.79,-2.32,-10.91
196903,3.44,1.91,3.38,1.28
196904,2.49,1.67,2.76,1.22
196905,0.69,-0.12,0.51,-0.54
196906,-3.79,-14.55,-3.38,-16.08
196907,-4.98,-11.39,-5.29,-11.78
196908,3.86,8.08,3.67,8.5
196909,-2.51,-2.32,-2.6,-2.86
196910,4.92,7.8,3.74,7.86
196911,-2.65,-5.82,-2.65,-7.39
196912,-0.7,-6.56,-0.8,-8.67
197001,-6.24,-9.65,-6.22,-9.12
197002,5.37,2.72,5.4,1.34
197003,0.33,-5.12,1.35,-5.7
197004,-8.16,-19.95,-8.24,-22
197005,-5.51,-11.91,-5.68,-13.12
197006,-4.19,-11.95,-4.52,-11.97
197007,7.26,6.31,7.52,3.71
197008,4.36,9.58,4.52,8.3
197009,2.28,17.85,1.83,20.49
197010,-0.44,-10.1,-0.54,-11.65
197011,5.99,-0.91,6.31,-2.57
197012,5.36,6.47,5.48,3.86
197101,3.41,13.3,2.92,14.85
197102,1.09,4.18,1.01,4.87
197103,4.14,5.98,4.19,5.84
197104,3.13,3.23,2.6,3.56
197105,-3.96,-5.69,-4.2,-6.17
197106,0.81,-3.93,0.43,-3.88
197107,-3.3,-9.11,-3.29,-9.75
197108,3.87,6,3.96,3.95
197109,0.23,-1.3,0.67,-2.65
197110,-2.57,-7.82,-1.59,-9.53
197111,0.74,-4.21,0.96,-4.12
197112,8.3,13.72,7.98,13.67
197201,1.86,10.14,2.41,12.33
197202,2.61,4.13,1.51,3.85
197203,1.57,-0.85,1.82,-0.81
197204,0.12,-0.8,-0.36,-2.15
197205,2.3,-1.31,2.42,-2.74
197206,-1.41,-3.38,-1.16,-3.03
197207,1.24,-5.66,1.35,-7.8
197208,3.71,-0.02,3.36,-1.24
197209,0.25,-5.03,0.02,-5.88
197210,1.29,-3.09,-0.07,-4.71
197211,4.01,5.72,4.44,4.38
197212,2.02,-2.31,2.45,-3.6
197301,-0.3,-9.61,0.64,-10.98
197302,-3.12,-10.09,-3.09,-10.94
197303,-0.45,-2.84,-0.25,-3.94
197304,-3.3,-10.96,-2.89,-11.66
197305,-0.76,-10.31,-1.3,-10.85
197306,0.04,-4.71,-0.4,-3.94
197307,2.15,17.91,1.46,19.06
197308,-3.38,-6.19,-3.77,-8.79
197309,2.52,11.37,1.64,10.31
197310,-0.42,-3.48,-0.7,-3.2
197311,-9.74,-21.59,-9.9,-20.98
